Order,Family,CommonName,Genus,Species,SubSpecies,SpecificLocation,Sex,M,Mref,K,Linf,GrowthRef,tmax,tmaxRef,Temp
Beloniformes,Scomberesocidae,Pacific saury,Cololabis,saira,na,northeastern Pacific Ocean,c,1.6,"Hughes, 1974",0.42,342.36,"Hughes, 1974",6,"Hughes, 1974",12
Scorpaeniformes,Scorpaenidae,splitnose rockfish,Sebastes,diploproa,na,northeastern Pacific Ocean,c,0.04,"Wilson & Boehlert, 1990",0.13,319.8,"Wilson & Boehlert, 1990",84,"Wilson & Boehlert, 1990",5.4
Scorpaeniformes,Scorpaenidae,greenstriped rockfish,Sebastes,elongatus,na,northeastern Pacific Ocean,c,0.15,"Shaw & Gunderson, 2006",0.094,338,"Shaw & Gunderson, 2006",46,"Shaw & Gunderson, 2006",13.5
Perciformes,Scombridae,narrow-barred Spanish mackerel,Scomberomorus,commerson,na,"northeastern Queensland waters, Australia",c,0.62,"*McPherson, 1992",0.21,1412.5,"McPherson, 1992",14,"McPherson, 1992",25
Perciformes,Centrarchidae,rock bass,Ambloplites,rupestris,na,"Nebish Lake, Wisconsin",c,1.2,"Ricker, 1949",0.229,194.4,"*Hile, 1941",13,"Ricker, 1949",12
Perciformes,Centrarchidae,black crappie,Pomoxis,nigromaculatus,na,Nebraska Sand Hills lakes,c,0.49,"Paukert et al., 2001",0.33,347,"*Paukert et al., 2001",11,"Paukert et al., 2001",12.5
Esociformes,Esocidae,muskellunge,Esox,masquinongy,na,"New River, Virginia",c,0.22,"Brenden et al., 2007",0.3716,1200,"Brenden et al., 2007",11,"Brenden et al., 2006",13.24
Perciformes,Carangidae,jack mackerel,Trachurus,declivis,na,"New South Wales to Tasmania, Australia",c,0.56,"*Stevens & Hausfeld, 1982",0.2,464,"Stevens & Hausfeld, 1982",16,"Stevens & Hausfeld, 1982",12
Perciformes,Ammodytidae,sand lance,Ammodytes,dubius,na,Newfoundland Grand Bank,c,0.885,"Winters, 1983",0.34,262,"Winters, 1981",10,"Winters, 1983",8
Perciformes,Malacanthidae,blueline tilefish,Caulolatilus,microps,na,North and South Carolina,c,0.22,"Ross & Huntsman, 1982",0.15,643,"Harris et al., 2004",43,"Harris et al., 2004",17.1
Perciformes,Apogonidae,black cardinalfish,Epigonus,telescopus,na,"east coast North Island, New Zealand",c,0.034,"Tracey et al., 2000",0.034,708,"Tracey et al., 2000",104,"Tracey et al., 2000",8
Perciformes,Ammodytidae,Shetland sandeel,Ammodytes,marinus,na,North Sea,c,1.28,"Cook, 2004",0.36,185,"ICES, 1995",8,"Bergstad & Hoines, 2001",7
Perciformes,Labridae,humphead wrasse,Cheilinus,undulatus,na,northern and central Great Barrier Reef,c,0.11,"Choat et al., 2006",,,,30,"Choat et al., 2006",26
Perciformes,Labridae,California sheephead,Semicossyphus,pulcher,na,"northern Channel Islands, southern California",c,0.2,"Hamilton et al., 2011",0.146,569.6,"Hamilton et al., 2011",29,"Hamilton et al., 2011",14
Perciformes,Scaridae,bridled parrotfish,Scarus,frenatus,na,northern Great Barrier Reef (mid shelf),c,0.24,"Gust et al., 2002",0.77,255.43,"Gust et al., 2002",20,"Gust et al., 2002",26
Perciformes,Scaridae,daisy parrotfish,Chlorurus,sordidus,na,northern Great Barrier Reef (outer shelf),c,0.49,"Gust et al., 2002",1.15,158.21,"Gust et al., 2002",9,"Gust et al., 2002",26
Perciformes,Lamnidae,porbeagle,Lamna,nasus,na,North West Atlantic,c,0.18,"Aasen, 1963",0.111,2800,"Aasen, 1963",25,"Aasen, 1963",7
Scorpaeniformes,Scorpaenidae,chilipepper,Sebastes,goodei,na,off California,c,0.41,"*Wilkins, 1980",0.24,459.25,"Wilkins, 1980",16,"Wilkins, 1980",14
Scorpaeniformes,Scorpaenidae,bocaccio,Sebastes,paucispinis,na,off California,c,0.434,"*Wilkins, 1980",0.12,821.7,"Wilkins, 1980",14,"Wilkins, 1980",18
Perciformes,Nototheniidae,Patagonian toothfish,Dissostichus,eleginoides,na,off Kerguelen,c,0.09,"Ashford et al., 2005",0.13,982,"Ashford et al., 2005",36,"Ashford et al., 2005",6
Myctophiformes,Myctophidae,lanternfish,Notoscopelus,elongatus,na,off the British Isles and coast of Norway,c,0.8,"Gjøsæter, 1981",0.89,119.1,"Gjøsæter, 1981",6,"Gjøsæter, 1981",6.5
Scorpaeniformes,Scorpaenidae,darkblotched rockfish,Sebastes,crameri,na,off the Oregon coast,c,0.014,"Nichol, 1990",0.2053,423,"Nichol, 1990",105,"Nichol, 1990",12.5
Perciformes,Lutjanidae,scarlet seaperch,Lutjanus,malabaricus,na,"off the Pilbara coast, Australia",c,0.115,"Newman, 2002c",0.225,622.8,"Newman, 2002c",31,"Newman, 2002c",26.9
Perciformes,Haemulidae,white grunt,Haemulon,plumieri,na,"Onslow Bay, North Carolina",c,0.43,"Rudershausen et al., 2008",0.08,591,"Potts & Manooch, 2001",13,"Potts & Manooch, 2001",27.5
Perciformes,Lutjanidae,vermillion snapper,Rhomboplites,aurorubens,na,"Onslow Bay, North Carolina",c,0.37,"Rudershausen et al., 2008",0.144,650,"Rudershausen et al., 2008",14,"SEDAR, 2003",18
Scorpaeniformes,Triglidae,grey gurnard,Eutrigla,gurnardus,na,"Pagassitikos Gulf, Greece",c,1.07,"*Papaconstantinou, 1982",0.22,264,"Papaconstantinou, 1982",8,"Papaconstantinou, 1982",14
Perciformes,Centrarchidae,bluegill,Lepomis,macrochirus,na,"Par Pond, South Carolina",c,0.87,"Belk & Hales, 1993",0.5094,274.1073,"*Belk & Hales, 1993",9,"Belk & Hales, 1993",30
Clupeiformes,Engraulidae,bay anchovy,Anchoa,mitchilli,na,"Patuxent River, Chesapeake Bay",c,2.36,"Newberger & Houde, 1995",0.23,129.3,"Newberger & Houde, 1995",3,"Newberger & Houde, 1995",15
